Client,Company Code,Accounting Document Number,Fiscal Year,Document Type,Document Date in Document,Month,Posting Date in the Document,Day On Which Accounting Document Was Entered,Invoice Document Number,Fiscal Year of Invoice,Date of the Last Document Change by Transaction,Reference Document Number,Accounting Document Key
100,CompanyCode1,1000000069,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072279,2022,,54885,10000722792022
100,CompanyCode1,1000000070,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072280,2022,,54880,10000722802022
100,CompanyCode1,1000000071,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072281,2022,,54881,10000722812022
100,CompanyCode1,1000000072,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072282,2022,,54875,10000722822022
100,CompanyCode1,1000000073,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072284,2022,,54882,10000722842022
100,CompanyCode1,1000000074,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072285,2022,,54873,10000722852022
100,CompanyCode1,1000000075,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072286,2022,,54871,10000722862022
100,CompanyCode1,1000000076,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072287,2022,,54874,10000722872022
100,CompanyCode1,1000000077,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072295,2022,,54886,10000722952022
100,CompanyCode1,1000000078,2022,Documenttype1,2022-02-28,2,2022-02-28,2022-02-28,1000072317,2022,,74609,10000723172022
100,CompanyCode1,1000000079,2022,Documenttype1,2022-02-10,2,2022-02-28,2022-02-28,1000072332,2022,,00017402,10000723322022
100,CompanyCode1,1000000080,2022,Documenttype1,2022-02-08,2,2022-02-28,2022-02-28,1000072340,2022,,CI069231,10000723402022
100,CompanyCode1,1000000081,2022,Documenttype1,2022-02-16,2,2022-02-28,2022-02-28,1000072377,2022,,529012-686,10000723772022
100,CompanyCode1,1000000082,2022,Documenttype1,2022-02-17,2,2022-02-28,2022-02-28,1000072385,2022,,3475,10000723852022
100,CompanyCode1,1000000083,2022,Documenttype1,2022-02-22,2,2022-02-28,2022-02-28,1000072426,2022,,INV-67482,10000724262022
100,CompanyCode1,1000000084,2022,Documenttype1,2022-02-18,3,2022-03-01,2022-03-01,1000072638,2022,,47-SC0008427,10000726382022
100,CompanyCode1,1000000085,2022,Documenttype1,2022-02-25,3,2022-03-01,2022-03-01,1000052964,2022,,47-SI0108064,10000529642022
100,CompanyCode1,1000000086,2022,Documenttype1,2022-03-02,3,2022-03-01,2022-03-01,1000053194,2022,,RNY655466,10000531942022
100,CompanyCode1,1000000087,2022,Documenttype1,2022-01-18,3,2022-03-02,2022-03-02,1000053239,2022,,196995,10000532392022
100,CompanyCode1,1000000088,2022,Documenttype1,2021-12-31,3,2022-03-02,2022-03-02,1000053240,2022,,196654,10000532402022
100,CompanyCode1,1000000089,2022,Documenttype1,2021-12-21,3,2022-03-02,2022-03-02,1000053241,2022,,196259,10000532412022
100,CompanyCode1,1000000090,2022,Documenttype1,2021-12-29,3,2022-03-02,2022-03-02,1000053242,2022,,196475,10000532422022
100,CompanyCode1,1000000091,2022,Documenttype1,2022-01-25,3,2022-03-02,2022-03-02,1000053243,2022,,197188,10000532432022
100,CompanyCode1,1000000092,2022,Documenttype1,2022-01-28,3,2022-03-02,2022-03-02,1000053244,2022,,197368,10000532442022
100,CompanyCode1,1000000093,2022,Documenttype1,2022-02-08,3,2022-03-02,2022-03-02,1000053245,2022,,197551,10000532452022
100,CompanyCode1,1000000094,2022,Documenttype1,2022-03-01,3,2022-03-02,2022-03-02,1000053283,2022,,00034621,10000532832022
100,CompanyCode1,1000000095,2022,Documenttype1,2022-03-01,3,2022-03-02,2022-03-02,1000053284,2022,,00034620,10000532842022
100,CompanyCode1,1000000096,2022,Documenttype1,2022-03-01,3,2022-03-02,2022-03-02,1000053288,2022,,00034623,10000532882022
100,CompanyCode1,1000000097,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053506,2022,,Y588035,10000535062022
100,CompanyCode1,1000000098,2022,Documenttype1,2022-02-18,3,2022-03-03,2022-03-03,1000033786,2022,,Y587556,10000337862022
100,CompanyCode1,1000000099,2022,Documenttype1,2022-02-25,3,2022-03-03,2022-03-03,1000033796,2022,,Y587992,10000337962022
100,CompanyCode1,1000000100,2022,Documenttype1,2022-02-25,3,2022-03-03,2022-03-03,1000033799,2022,,260102179,10000337992022
100,CompanyCode1,1000000101,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053742,2022,,INV733402,10000537422022
100,CompanyCode1,1000000102,2022,Documenttype1,2022-02-28,3,2022-03-03,2022-03-03,1000053743,2022,,INV733404,10000537432022
